OBJECTID,GEOID,TotGradCalc,TotEnrlCalc,PctEnrl,Shape__Area,Shape__Length
61,26061,765,574,0.750326822222222,5019860794.12964,383711.640770056
62,26062,796,401,0.503768837939699,8039199341.39771,580510.464188659
63,26063,1141,752,0.659070985977213,20081721430.1348,808393.785965566
64,26064,642,338,0.526479742990654,8066644021.23877,498936.276356481
65,26065,935,508,0.543315513368984,16060844687.7607,1109340.39311329
66,26066,932,538,0.577253216738197,32444651609.7856,1102430.62949678
67,26067,1573,920,0.584869675778767,11763458020.5164,556006.052834785
68,26068,293,153,0.52218433447099,868264308.209473,228764.186398248
69,26069,850,630,0.741176470588235,2997620439.64648,318593.493420316
70,26070,727,409,0.562585972489684,24132195753.4297,926899.395471427
71,26071,1160,625,0.538793102586207,13180528403.4744,674198.843256719
72,26072,953,541,0.567681006295908,4597779966.01514,400706.491493337
73,26073,1535,1067,0.695114016938111,6625454687.80078,533993.150520798
74,26074,1174,693,0.590289621805792,6097393432.05859,508293.268578923
75,26075,776,279,0.359536057989691,480520324.182129,164711.986022906
76,26076,172,120,0.697674418604651,782687582.645508,375370.940386701
77,26077,894,441,0.493288582774049,1700629566.35303,221144.546677064
78,26078,645,334,0.517829466666667,13849835628.1587,774961.496177094
79,26079,925,497,0.537297301621622,5502105642.84436,461631.151451618
80,26080,902,469,0.519955654101996,20467307343.092,632313.900210572
81,26081,797,491,0.616060204516939,13843175971.2104,1041184.14830504
82,26082,780,438,0.561538452564103,18475917646.8052,567963.964959257
83,26083,1141,604,0.529360205959684,45544588139.5537,1102236.24902536
84,26084,823,457,0.555285534629405,85055422541.3921,1403966.09999041
85,26085,913,513,0.56188391456736,23936272097.7861,749690.86016212
86,26086,1558,1085,0.696405642490372,10966449156.9258,677380.794429411
87,26087,836,480,0.574162679425837,28322018417.646,1057415.4135649
88,26088,705,465,0.659574468085106,6015970926.19922,408420.760322886
89,26089,1157,704,0.608470183232498,6902235143.52539,437760.657946922
90,26090,1177,674,0.572642308411215,3166820057.56348,295930.640241054
91,26091,919,587,0.638737758433079,11443006997.5166,775484.571117782
92,26092,792,383,0.483585835858586,3261827236.5376,345428.842561199
93,26093,727,440,0.605226982118294,27907188949.6914,860278.520632802
94,26094,1029,677,0.657920306122449,9247052654.93457,718787.50965538
95,26095,504,226,0.448412714285714,4639589102.83252,368188.306536374
96,26096,600,378,0.629999983333333,6708743898.72559,378935.528917482
97,26097,490,265,0.540816318367347,58457446404.0195,1598637.75050622
98,26098,1220,883,0.723770482786885,12604363891.7979,632971.315613606
99,26099,434,276,0.635944695852535,25470083663.5098,933705.208015802
100,26100,501,281,0.560878241516966,76444155670.7603,1463030.70506895
101,26101,803,394,0.49066003611457,165036272034.396,1985095.51970101
102,26102,866,444,0.51270207852194,38905495524.8164,1335547.51257383
103,26103,430,210,0.488372093023256,79856692723.7188,1263518.93657212
104,26104,826,544,0.658595641646489,16777902542.0098,667602.094755671
105,26105,590,360,0.610169481355932,101973408397.018,1977050.06503293
106,26106,529,307,0.58034024952741,238511685798.852,2478118.77808718
107,26107,875,546,0.624000010285714,164478967402.172,2781771.58647452
108,26108,765,477,0.623529431372549,114741921559.054,1979044.0149871
109,26109,598,392,0.655518372909699,293269369789.885,3448904.20129719
110,26110,672,394,0.586309523809524,426640042280.723,3615290.68520751
